"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Male Civilian Population 16 to 19 Years:","Male Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Male Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Female Civilian Population 16 to 19 Years:","Female Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Female Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Average Household Income (In 2017 Inflation Adjusted Dollars):","Average Household Income (In 2017 Inflation Adjusted Dollars): White Alone Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Black or African American Alone Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Asian Alone","Average Household Income (In 2017 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Some Other Race Alone Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Two or More Races Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): Hispanic or Latino Householder","Average Household Income (In 2017 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A14009_001,SE_A14009_002,SE_A14009_003,SE_A14009_004,SE_A14009_005,SE_A14009_006,SE_A14009_007,SE_A14009_008,SE_A14009_009,SE_A14009_010
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131172,6403,124769,128208,4842,123366,64476.3103256054,71886.0858313234,44301.7000544117,64052.7338877339,87872.5800117809,61235.6,46355.3835460634,58018.0686450708,52934.2748659019,72241.4099452645
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20046,852,19194,17407,726,16681,94468.5106281877,101450.659272951,79805.0019091256,62841.2338225599,88980.5707619133,79356.7322239032,74046.8210089841,84901.076328356,84408.8403536141,102244.187949403
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190977,12540,178437,180692,7878,172814,73734.5392257457,76524.35857314,57058.1159549317,45493.1747698469,94171.7805486284,67643.5354691075,51807.982169577,67681.8545797923,55757.2417218837,81408.1531735429
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81920,4031,77889,77970,2949,75021,61330.4852910029,65472.960986992,40495.3927763928,52314.9845034362,87826.6769468003,42224.0498442368,47262.040534071,52548.9358490566,48531.1163290195,66038.090902374
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075133,38650,1036483,1024383,23525,1000858,96103.6465963094,100988.306887473,66325.4514712847,67217.4836091164,113649.242850329,82936.1386757318,63341.3089622641,91370.9878463758,68102.9221216219,111879.85818954
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143001,7685,135316,133860,4625,129235,88388.4311926209,91186.5671387529,62552.1975859355,57702.2306855277,92372.9979917758,82359.8537005164,56269.0221011202,75112.7455929993,60955.0819096193,95555.7189012082
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102960,3059,99901,98985,2001,96984,105998.258350437,113620.922281947,63448.2465519085,63666.0697153822,126444.660731949,73598.8235294118,51750.1973873098,78840.8560794045,64522.1908062751,117571.006421157
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24377,1215,23162,24036,580,23456,84146.169651802,88303.951939331,66588.7654443296,66092.5,120383.716538019,82962.3655913978,54507.2944570369,64346.7958557176,64625.2986272063,89611.0416211154
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14780,567,14213,17119,497,16622,116089.773548933,170134.692766522,63913.9662361848,56283.4838709677,117677.461403347,91726.4957264957,73352.3323931439,119039.389043912,106135.939146192,173679.113374114
