Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13005_001,SE_A13005_002,SE_A13005_003,SE_A13005_004,SE_A13005_005,SE_A13005_006,SE_A13005_007
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3249331,432404,2816927,1239724,360407,879317,61251,8597,52654,194090,62607,131483,4729116,849699,367621,482078,3879417,1912734,1966683
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472131,31659,440472,22227,3387,18840,45008,4673,40335,47893,5463,42430,719983,73380,35420,37960,646603,337477,309126
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169694,764158,4405536,277676,62682,214994,209129,27329,181800,2050972,513987,1536985,6654096,1128046,522398,605648,5526050,2752802,2773248
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241236,332449,1908787,437236,139406,297830,41569,5909,35660,209473,61991,147482,2890095,524211,235444,288767,2365884,1174888,1190996
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23197780,3183011,20014769,2165637,502610,1663027,5424139,607792,4816347,14847071,3052999,11794072,38242946,5773408,2644246,3129162,32469538,16253026,16216512
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4481041,467164,4013877,209645,41732,167913,161458,18258,143200,1131146,218275,912871,5316870,612143,279081,333062,4704727,2375804,2328923
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683192,205283,2477909,359281,66875,292406,151478,12665,138813,537612,123584,414028,3486033,350783,154683,196100,3135250,1542936,1592314
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637493,59997,577496,197099,37039,160060,36026,2983,33043,82790,20127,62663,918100,111304,47715,63589,806796,394979,411817
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256934,18242,238692,307477,81287,226190,23506,3697,19809,69138,9665,59473,638362,111025,47359,63666,527337,254610,272727
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15073714,2000476,13073238,3149614,781928,2367686,536922,67789,469133,4944502,981013,3963489,19858469,3070972,1387764,1683208,16787497,8257191,8530306
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930826,744321,5186505,3081177,751506,2329671,379132,44981,334151,927124,247605,679519,9931935,1679030,735445,943585,8252905,4060385,4192520
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342353,34717,307636,23024,2535,20489,532027,35409,496618,140348,19850,120498,1383246,143148,65279,77869,1240098,623179,616919
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480626,202504,1278122,10553,3433,7120,22267,3614,18653,197335,44855,152480,1626557,236000,109571,126429,1390557,701838,688719
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9043190,912284,8130906,1754135,502014,1252121,658612,75018,583594,2126247,388434,1737813,12551822,1698613,751968,946645,10853209,5385626,5467583
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390096,651928,4738168,585186,174762,410424,130256,25913,104343,430702,110455,320247,6412384,933540,410928,522612,5478844,2734869,2743975
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736646,288702,2447944,99382,33868,65514,68856,12637,56219,172879,39197,133682,3016358,361343,161197,200146,2655015,1334044,1320971
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401298,271308,2129990,157840,39011,118829,78789,12201,66588,326697,73190,253507,2820265,361285,163671,197614,2458980,1233326,1225654
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756503,636627,3119876,331658,96845,234813,58254,9370,48884,146146,43098,103048,4287887,783586,348719,434867,3504301,1752284,1752017
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2846561,359018,2487543,1439816,474168,965648,79667,12672,66995,223825,51617,172208,4531570,887574,381637,505937,3643996,1810309,1833687
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228199,148659,1079540,15575,6622,8953,13865,1848,12017,19290,3830,15460,1294998,166904,75323,91581,1128094,556799,571295
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323708,235152,3088556,1728486,242880,1485606,367574,28866,338708,563165,77626,485539,5856088,566966,243895,323071,5289122,2580452,2708670
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184651,453465,4731186,477476,98196,379280,404383,57089,347294,733885,202789,531096,6552347,727546,314554,412992,5824801,2864158,2960643
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7660964,942462,6718502,1321029,416313,904716,281622,40221,241401,472362,113788,358574,9698121,1510841,684867,825974,8187280,4063945,4123335
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4501844,355424,4146420,315319,100433,214886,250763,38632,212131,277052,57875,219177,5366210,560995,255682,305313,4805215,2412230,2392985
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708068,228969,1479099,1079793,364893,714900,27979,3673,24306,81576,22032,59544,2890123,620007,266972,353035,2270116,1122261,1147855
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4867315,605038,4262277,669594,178592,491002,109605,18068,91537,237243,57361,179882,5891760,861679,382763,478916,5030081,2494991,2535090
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896225,112761,783464,3984,829,3155,7140,1228,5912,35166,7352,27814,1004612,144198,67391,76807,860414,436116,424298
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619015,166699,1452316,85003,24345,60658,40697,7868,32829,193358,43933,149425,1839825,220330,96880,123450,1619495,818675,800820
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913348,231847,1681501,244013,60929,183084,231134,22099,209035,803743,155693,648050,2846365,405263,189393,215870,2441102,1231986,1209116
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207724,93588,1114136,16778,3094,13684,31750,3492,28258,43003,7894,35109,1289255,104470,46286,58184,1184785,591348,593437
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5983535,493733,5489802,1158587,221952,936635,830031,55685,774346,1737472,340748,1396724,8783989,938252,412106,526146,7845737,3856985,3988752
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520764,273759,1247005,39464,9549,29915,29231,2896,26335,983700,244409,739291,2043896,420293,192619,227674,1623603,811578,812025
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12324296,1352714,10971582,2987117,670972,2316145,1619418,272582,1346836,3644173,889328,2754845,19285448,2908471,1284016,1624455,16376977,8041667,8335310
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6776691,845573,5931118,2077559,517071,1560488,262596,33282,229314,894810,268985,625825,9783738,1579871,694126,885745,8203867,4039143,4164724
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632287,53746,578541,16209,4804,11405,9906,1996,7910,23533,4284,19249,719722,79374,36668,42706,640348,331594,308754
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9267929,1099404,8168525,1366363,437788,928575,229147,31305,197842,402299,105142,297157,11289161,1683890,749625,934265,9605271,4759029,4846242
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2755337,373541,2381796,266247,76622,189625,77872,12408,65464,383402,95550,287852,3780828,612714,271079,341635,3168114,1587603,1580511
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358550,462388,2896162,72590,22148,50442,162923,25396,137527,498708,119709,378999,3947954,587248,270924,316324,3360706,1677617,1683089
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10085180,1036506,9048674,1335508,368064,967444,402807,61638,341169,841371,259020,582351,12377251,1623537,717479,906058,10753714,5311901,5441813
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823518,89596,733922,65194,15658,49536,33385,4825,28560,149894,43392,106502,1015923,136126,59737,76389,879797,434025,445772
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3211214,384133,2827081,1282197,342247,939950,69794,10369,59425,257204,73604,183600,4751345,790657,343117,447540,3960688,1945045,2015643
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702213,67289,634924,13638,3492,10146,11404,2637,8767,28350,7025,21325,826297,114885,52200,62685,711412,362976,348436
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5021036,706155,4314881,1065419,288306,777113,108195,11605,96590,333765,101739,232026,6436601,1072360,478314,594046,5364241,2646132,2718109
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20039873,2992339,17047534,3147848,674132,2473716,1222283,130111,1092172,10478511,2409759,8068752,26794198,4291384,1916989,2374395,22502814,11285476,11217338
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2561868,248083,2313785,32252,8585,23667,66018,9914,56104,402071,82053,320018,2946717,324856,150747,174109,2621861,1327169,1294692
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568856,62361,506495,6883,1543,5340,8842,1184,7658,10029,1493,8536,600127,68144,30453,37691,531983,264843,267140
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5569513,495874,5073639,1531025,297513,1233512,511014,38579,472435,729278,109092,620186,8116130,906838,396646,510192,7209292,3559889,3649403
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5406760,585304,4821456,251919,57248,194671,570724,60422,510302,865738,186188,679550,7037413,859950,396258,463692,6177463,3106578,3070885
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672618,286230,1386388,57462,17067,40395,13684,2060,11624,24518,5934,18584,1784004,317089,142103,174986,1466915,734712,732203
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834426,474652,4359774,346462,118842,227620,148224,26682,121542,371053,92172,278881,5612611,692719,310220,382499,4919892,2469740,2450152
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520881,53460,467421,5618,785,4833,4867,1050,3817,55162,11641,43521,569412,63398,29048,34350,506014,261188,244826
