Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,SE_A17006A_001,SE_A17006A_002,SE_A17006A_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,SE_A17006D_001,SE_A17006D_002,SE_A17006D_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160125,1075246,84879,1060775,980263,80512,1544201,1455004,89197,574581,505989,68592,31291,30078,1213,84121,78954,5167
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208819,190962,17857,174774,163083,11691,266194,251382,14812,12291,11093,1198,26156,25209,947,22892,21067,1825
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702261,1579669,122592,1477541,1374222,103319,2481525,2325163,156362,142667,128477,14190,111304,105778,5526,952183,876218,75965
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718939,671849,47090,642725,604687,38038,1071736,1015295,56441,198179,175143,23036,22034,21050,984,93920,89123,4797
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10538680,9737911,800769,8946381,8256004,690377,11864955,11017366,847589,1075226,931214,144012,2904979,2738044,166935,7236165,6603534,632631
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564701,1481497,83204,1348231,1278579,69652,2489020,2367184,121836,112186,102574,9612,87826,84573,3253,551673,514724,36949
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002979,927130,75849,942819,877956,64863,1513138,1420697,92441,201077,175131,25946,87041,82006,5035,274707,244850,29857
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239897,223597,16300,231861,217916,13945,330935,311735,19200,101920,93278,8642,19313,18598,715,38080,35722,2358
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188330,172966,15364,200650,184735,15915,191908,186165,5743,150819,127545,23274,17586,17174,412,41928,39543,2385
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067831,4701448,366383,4649856,4317122,332734,7349135,6895529,453606,1563821,1379100,184721,282723,267886,14837,2539070,2364331,174739
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573504,2388367,185137,2405406,2217962,187444,2996097,2828792,167305,1550382,1371690,178692,200743,192356,8387,438926,412014,26912
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367110,348659,18451,339028,323099,15929,173769,165397,8372,11270,10164,1106,294661,285775,8886,59239,55080,4159
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431059,407768,23291,359927,340890,19037,724856,687845,37011,5002,4421,581,10769,10318,451,91927,86045,5882
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495940,3231329,264611,3177023,2950324,226699,4931536,4652544,278992,848754,702861,145893,363601,344013,19588,1068506,983512,84994
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750915,1642766,108149,1575579,1481529,94050,2845636,2696332,149304,287641,248373,39268,66993,63879,3114,199297,185879,13418
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876091,837755,38336,792645,761963,30682,1532299,1474225,58074,49858,44740,5118,37461,35577,1884,83323,77184,6139
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789787,751246,38541,701267,668799,32468,1285435,1231374,54061,81083,72977,8106,42399,40590,1809,156373,145786,10587
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090130,1012837,77293,988737,925313,63424,1823581,1709462,114119,170500,151100,19400,29935,28548,1387,69332,64451,4881
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135718,1050750,84968,1052706,980488,72218,1426203,1350688,75515,651124,577388,73736,42160,40173,1987,111595,104080,7515
