Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,SE_A17006A_001,SE_A17006A_002,SE_A17006A_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,SE_A17006D_001,SE_A17006D_002,SE_A17006D_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003
"01001","05000US01001","Autauga County, Alabama","Autauga County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,36,1521,1189,44,1145,13477,12852,625,11959,11260,699,19712,18730,982,4597,4318,279,268,268,0,877,776,101
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268,276,4992,4763,230,4533,50034,47272,2762,44708,42255,2453,83465,79234,4231,8092,7377,715,584,543,41,4262,4061,201
"01005","05000US01005","Barbour County, Alabama","Barbour County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,29,454,588,9,579,5426,4763,663,4713,4115,598,5065,4702,363,4554,3656,898,60,60,0,406,394,12
"01007","05000US01007","Bibb County, Alabama","Bibb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753,119,634,384,13,371,4984,4608,376,3915,3563,352,7119,6609,510,1613,1417,196,0,0,0,238,235,3
"01009","05000US01009","Blount County, Alabama","Blount County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,84,1695,1445,15,1430,12720,12145,575,9751,9235,516,21569,20519,1050,291,284,7,39,35,4,1610,1546,64
"01011","05000US01011","Bullock County, Alabama","Bullock County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,23,238,193,17,176,2886,2503,383,1996,1787,209,1179,1129,50,3581,3039,542,17,17,0,0,0,0
"01013","05000US01013","Butler County, Alabama","Butler County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,64,413,524,80,444,4082,3779,303,4285,3948,337,4540,4294,246,3595,3201,394,162,162,0,41,32,9
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3131,197,2934,3061,123,2938,27389,24840,2549,25312,22552,2760,39413,36216,3197,10936,9181,1755,571,555,16,1886,1646,240
"01017","05000US01017","Chambers County, Alabama","Chambers County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,84,643,726,22,704,8278,7730,548,7243,6797,446,8811,8261,550,6242,5814,428,283,283,0,245,245,0
"01019","05000US01019","Cherokee County, Alabama","Cherokee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,84,582,612,40,572,6009,5657,352,4427,4222,205,9812,9286,526,528,517,11,0,0,0,134,89,45
"01021","05000US01021","Chilton County, Alabama","Chilton County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,74,1096,973,2,971,10692,9780,912,8254,7895,359,16131,15148,983,1634,1452,182,37,37,0,1399,1282,117
"01023","05000US01023","Choctaw County, Alabama","Choctaw County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,6,329,356,0,356,2476,2239,237,2293,2062,231,2921,2696,225,1773,1532,241,8,8,0,25,25,0
"01025","05000US01025","Clarke County, Alabama","Clarke County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,19,588,707,13,694,5046,4415,631,4311,3518,793,5254,4699,555,3960,3091,869,76,76,0,27,27,0
"01027","05000US01027","Clay County, Alabama","Clay County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,37,375,298,19,279,3188,2981,207,2700,2528,172,5028,4709,319,784,761,23,6,6,0,200,200,0
"01029","05000US01029","Cleburne County, Alabama","Cleburne County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,28,290,351,10,341,3510,3209,301,2722,2534,188,6015,5556,459,96,66,30,25,25,0,126,102,24
"01031","05000US01031","Coffee County, Alabama","Coffee County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,26,1351,1278,37,1241,12018,11318,700,11012,10321,691,17855,16944,911,4032,3638,394,268,268,0,1420,1372,48
"01033","05000US01033","Colbert County, Alabama","Colbert County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,32,1371,1193,69,1124,12335,11355,980,11498,10825,673,19092,17991,1101,3873,3393,480,156,136,20,645,610,35
"01035","05000US01035","Conecuh County, Alabama","Conecuh County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,26,261,289,0,289,2462,2123,339,2152,1822,330,2368,2136,232,2230,1793,437,0,0,0,59,59,0
"01037","05000US01037","Coosa County, Alabama","Coosa County, Alabama","al","050","00","ACSSF","0000031",,,,,"01","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,37,245,208,0,208,2365,2080,285,2030,1817,213,2956,2756,200,1433,1140,293,0,0,0,9,9,0
"01039","05000US01039","Covington County, Alabama","Covington County, Alabama","al","050","00","ACSSF","0000032",,,,,"01","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,91,750,831,34,797,8987,8141,846,7458,6545,913,14132,12807,1325,2020,1592,428,55,55,0,288,221,67
"01041","05000US01041","Crenshaw County, Alabama","Crenshaw County, Alabama","al","050","00","ACSSF","0000033",,,,,"01","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,20,421,363,6,357,3360,3157,203,2729,2543,186,4427,4200,227,1342,1224,118,122,122,0,181,129,52
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00","ACSSF","0000034",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,101,1915,1844,114,1730,19294,18228,1066,14740,13844,896,32904,31086,1818,354,316,38,205,205,0,1154,1003,151
"01045","05000US01045","Dale County, Alabama","Dale County, Alabama","al","050","00","ACSSF","0000035",,,,,"01","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206,104,1102,1365,65,1300,10311,9309,1002,9774,8679,1095,14912,13714,1198,4127,3291,836,111,111,0,1034,914,120
"01047","05000US01047","Dallas County, Alabama","Dallas County, Alabama","al","050","00","ACSSF","0000036",,,,,"01","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,66,941,1213,15,1198,8343,7244,1099,8420,7217,1203,5267,5089,178,11212,9088,2124,72,72,0,219,203,16
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00","ACSSF","0000037",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884,161,1723,1787,19,1768,16914,16118,796,13031,12298,733,25976,24792,1184,399,371,28,174,174,0,3930,3687,243
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00","ACSSF","0000038",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2114,87,2027,1987,88,1899,17782,16547,1235,17885,16507,1378,27120,25689,1431,7581,6446,1135,227,227,0,1020,1009,11
"01053","05000US01053","Escambia County, Alabama","Escambia County, Alabama","al","050","00","ACSSF","0000039",,,,,"01","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,234,762,946,151,795,7302,6424,878,6762,5710,1052,8891,7929,962,4251,3348,903,112,112,0,340,340,0
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00","ACSSF","0000040",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729,92,2637,2377,43,2334,23627,21658,1969,21191,19754,1437,36643,34094,2549,6906,6182,724,432,413,19,1518,1290,228
"01057","05000US01057","Fayette County, Alabama","Fayette County, Alabama","al","050","00","ACSSF","0000041",,,,,"01","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,0,412,458,14,444,3690,3401,289,3193,2906,287,6001,5565,436,773,656,117,31,20,11,68,68,0
"01059","05000US01059","Franklin County, Alabama","Franklin County, Alabama","al","050","00","ACSSF","0000042",,,,,"01","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,85,787,732,40,692,7837,7186,651,5811,5348,463,11530,10686,844,818,709,109,14,1,13,2200,2075,125
"01061","05000US01061","Geneva County, Alabama","Geneva County, Alabama","al","050","00","ACSSF","0000043",,,,,"01","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,35,696,618,21,597,6142,5591,551,5175,4715,460,9886,9109,777,1003,785,218,69,69,0,358,305,53
"01063","05000US01063","Greene County, Alabama","Greene County, Alabama","al","050","00","ACSSF","0000044",,,,,"01","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,80,236,0,236,1351,1153,198,1479,1258,221,656,629,27,2123,1763,360,0,0,0,1,1,0
"01065","05000US01065","Hale County, Alabama","Hale County, Alabama","al","050","00","ACSSF","0000045",,,,,"01","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,23,382,526,28,498,2928,2569,359,3021,2683,338,2521,2370,151,3277,2731,546,0,0,0,137,130,7
"01067","05000US01067","Henry County, Alabama","Henry County, Alabama","al","050","00","ACSSF","0000046",,,,,"01","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,14,406,356,22,334,3733,3393,340,3712,3556,156,5417,5115,302,1933,1745,188,0,0,0,212,206,6
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00","ACSSF","0000047",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547,74,2473,2529,66,2463,24773,22840,1933,22977,21268,1709,34165,32229,1936,12113,10583,1530,448,437,11,1494,1396,98
"01071","05000US01071","Jackson County, Alabama","Jackson County, Alabama","al","050","00","ACSSF","0000048",,,,,"01","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,29,1260,1265,54,1211,11948,11072,876,10012,9189,823,20040,18524,1516,751,710,41,76,56,20,531,448,83
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00","ACSSF","0000049",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16789,584,16205,16583,594,15989,163539,151091,12448,162244,149648,12596,176656,168337,8319,133253,117463,15790,5628,5547,81,11307,10672,635
"01075","05000US01075","Lamar County, Alabama","Lamar County, Alabama","al","050","00","ACSSF","0000050",,,,,"01","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,16,303,311,13,298,3303,3123,180,2532,2253,279,5285,4913,372,498,427,71,0,0,0,39,39,0
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00","ACSSF","0000051",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320,96,2224,2555,35,2520,22207,20893,1314,20448,18964,1484,37453,35209,2244,4077,3565,512,324,324,0,869,814,55
"01079","05000US01079","Lawrence County, Alabama","Lawrence County, Alabama","al","050","00","ACSSF","0000052",,,,,"01","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,29,803,697,9,688,7726,7096,630,5722,5380,342,10336,9597,739,1444,1330,114,7,7,0,155,155,0
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000053",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5573,128,5445,6053,322,5731,40096,37944,2152,35952,33733,2219,53140,50648,2492,18072,16627,1445,2738,2586,152,2562,2520,42
"01083","05000US01083","Limestone County, Alabama","Limestone County, Alabama","al","050","00","ACSSF","0000054",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,66,2552,2109,100,2009,22859,21311,1548,19042,17633,1409,34037,31704,2333,5707,5266,441,608,594,14,2211,2070,141
"01085","05000US01085","Lowndes County, Alabama","Lowndes County, Alabama","al","050","00","ACSSF","0000055",,,,,"01","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,7,209,154,11,143,1875,1635,240,2104,1898,206,1169,1135,34,2795,2383,412,0,0,0,19,19,0
"01087","05000US01087","Macon County, Alabama","Macon County, Alabama","al","050","00","ACSSF","0000056",,,,,"01","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,70,642,1049,46,1003,4114,3495,619,4485,3853,632,1366,1208,158,7013,5932,1081,33,33,0,103,103,0
"01089","05000US01089","Madison County, Alabama","Madison County, Alabama","al","050","00","ACSSF","0000057",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10121,413,9708,8773,163,8610,96666,90882,5784,84912,78874,6038,124287,117843,6444,44916,40477,4439,4984,4723,261,7810,7433,377
"01091","05000US01091","Marengo County, Alabama","Marengo County, Alabama","al","050","00","ACSSF","0000058",,,,,"01","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,8,557,650,6,644,3981,3482,499,3639,3163,476,3854,3594,260,3722,3032,690,0,0,0,51,33,18
"01093","05000US01093","Marion County, Alabama","Marion County, Alabama","al","050","00","ACSSF","0000059",,,,,"01","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,61,544,747,74,673,6604,6207,397,5986,5692,294,11836,11272,564,447,336,111,10,10,0,333,333,0
"01095","05000US01095","Marshall County, Alabama","Marshall County, Alabama","al","050","00","ACSSF","0000060",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597,173,2424,2327,81,2246,22747,21242,1505,18393,17214,1179,38172,35683,2489,930,875,55,301,275,26,4519,4262,257
"01097","05000US01097","Mobile County, Alabama","Mobile County, Alabama","al","050","00","ACSSF","0000061",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11097,651,10446,10858,389,10469,94083,86610,7473,93089,86585,6504,115889,109635,6254,61458,54374,7084,3989,3739,250,5264,5049,215
"01099","05000US01099","Monroe County, Alabama","Monroe County, Alabama","al","050","00","ACSSF","0000062",,,,,"01","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,17,463,607,169,438,4075,3251,824,3770,2903,867,4573,4091,482,3110,1929,1181,23,23,0,31,31,0
"01101","05000US01101","Montgomery County, Alabama","Montgomery County, Alabama","al","050","00","ACSSF","0000063",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,424,5976,6159,313,5846,53928,49683,4245,55289,51191,4098,42226,40462,1764,61767,55560,6207,2570,2429,141,2870,2680,190
"01103","05000US01103","Morgan County, Alabama","Morgan County, Alabama","al","050","00","ACSSF","0000064",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088,99,2989,2742,80,2662,29102,27485,1617,25005,23126,1879,44482,41898,2584,6554,5814,740,344,344,0,3932,3704,228
"01105","05000US01105","Perry County, Alabama","Perry County, Alabama","al","050","00","ACSSF","0000065",,,,,"01","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,0,559,382,89,293,1144,1055,89,1666,1423,243,864,781,83,1920,1671,249,0,0,0,42,42,0
"01107","05000US01107","Pickens County, Alabama","Pickens County, Alabama","al","050","00","ACSSF","0000066",,,,,"01","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,6,566,515,58,457,4435,3892,543,3426,3011,415,4638,4356,282,3084,2455,629,0,0,0,127,127,0
"01109","05000US01109","Pike County, Alabama","Pike County, Alabama","al","050","00","ACSSF","0000067",,,,,"01","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,20,1087,1461,31,1430,8093,7554,539,7625,6798,827,9307,8777,530,5807,4989,818,260,260,0,166,162,4
"01111","05000US01111","Randolph County, Alabama","Randolph County, Alabama","al","050","00","ACSSF","0000068",,,,,"01","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,29,523,679,50,629,4839,4493,346,4256,4072,184,6933,6581,352,2039,1882,157,12,12,0,243,229,14
"01113","05000US01113","Russell County, Alabama","Russell County, Alabama","al","050","00","ACSSF","0000069",,,,,"01","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442,127,1315,1322,15,1307,12875,11644,1231,12549,11315,1234,12954,11924,1030,11464,10125,1339,214,214,0,1078,975,103
"01115","05000US01115","St. Clair County, Alabama","St. Clair County, Alabama","al","050","00","ACSSF","0000070",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,92,1888,1693,171,1522,21632,20338,1294,19244,18184,1060,36030,33927,2103,3648,3468,180,442,442,0,948,926,22
"01117","05000US01117","Shelby County, Alabama","Shelby County, Alabama","al","050","00","ACSSF","0000071",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516,162,5354,5314,60,5254,57769,55415,2354,50974,48678,2296,88349,84658,3691,13057,12338,719,2126,2104,22,5779,5527,252
"01119","05000US01119","Sumter County, Alabama","Sumter County, Alabama","al","050","00","ACSSF","0000072",,,,,"01","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,12,565,476,77,399,2344,2077,267,2681,2276,405,1506,1338,168,3445,2941,504,70,70,0,19,19,0
"01121","05000US01121","Talladega County, Alabama","Talladega County, Alabama","al","050","00","ACSSF","0000073",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923,138,1785,1992,18,1974,17706,15877,1829,16671,15060,1611,22440,20738,1702,10834,9163,1671,332,332,0,703,602,101
"01123","05000US01123","Tallapoosa County, Alabama","Tallapoosa County, Alabama","al","050","00","ACSSF","0000074",,,,,"01","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,85,1037,938,14,924,9109,8203,906,7755,7114,641,12526,11719,807,3985,3332,653,74,74,0,328,320,8
"01125","05000US01125","Tuscaloosa County, Alabama","Tuscaloosa County, Alabama","al","050","00","ACSSF","0000075",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7082,153,6929,9734,156,9578,50098,46636,3462,47413,44305,3108,65162,61480,3682,29109,26451,2658,1313,1253,60,3207,2985,222
"01127","05000US01127","Walker County, Alabama","Walker County, Alabama","al","050","00","ACSSF","0000076",,,,,"01","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566,113,1453,1541,68,1473,14706,13410,1296,12275,10870,1405,24649,22281,2368,1746,1517,229,120,109,11,717,616,101
"01129","05000US01129","Washington County, Alabama","Washington County, Alabama","al","050","00","ACSSF","0000077",,,,,"01","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,30,617,402,8,394,3609,3200,409,2809,2510,299,4525,4166,359,1531,1266,265,51,11,40,63,63,0
"01131","05000US01131","Wilcox County, Alabama","Wilcox County, Alabama","al","050","00","ACSSF","0000078",,,,,"01","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,14,367,241,0,241,1672,1317,355,1831,1584,247,1147,1090,57,2322,1791,531,0,0,0,0,0,0
"01133","05000US01133","Winston County, Alabama","Winston County, Alabama","al","050","00","ACSSF","0000079",,,,,"01","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,83,448,573,99,474,5490,5025,465,4337,3877,460,9617,8717,900,0,0,0,10,10,0,332,309,23
"02013","05000US02013","Aleutians East Borough, Alaska","Aleutians East Borough, Alaska","ak","050","00","ACSSF","0000013",,,,,"02","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,12,55,56,6,50,1599,1566,33,865,839,26,496,484,12,174,174,0,836,836,0,258,250,8
"02016","05000US02016","Aleutians West Census Area, Alaska","Aleutians West Census Area, Alaska","ak","050","00","ACSSF","0000014",,,,,"02","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,0,146,95,0,95,2777,2737,40,1261,1224,37,1327,1306,21,295,295,0,1660,1642,18,354,347,7
"02020","05000US02020","Anchorage Municipality, Alaska","Anchorage Municipality, Alaska","ak","050","00","ACSSF","0000015",,,,,"02","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7608,225,7383,6722,273,6449,85604,80056,5548,76541,72695,3846,109921,104944,4977,8430,7559,871,14980,14406,574,12276,11704,572
"02050","05000US02050","Bethel Census Area, Alaska","Bethel Census Area, Alaska","ak","050","00","ACSSF","0000016",,,,,"02","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,68,556,577,46,531,4073,3153,920,3458,2922,536,1372,1350,22,87,73,14,111,85,26,154,98,56
"02060","05000US02060","Bristol Bay Borough, Alaska","Bristol Bay Borough, Alaska","ak","050","00","ACSSF","0000017",,,,,"02","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,22,20,0,20,339,312,27,206,196,10,340,331,9,0,0,0,4,0,4,16,16,0
"02068","05000US02068","Denali Borough, Alaska","Denali Borough, Alaska","ak","050","00","ACSSF","0000018",,,,,"02","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,34,79,0,79,792,789,3,766,740,26,1323,1315,8,2,2,0,50,50,0,17,17,0
"02070","05000US02070","Dillingham Census Area, Alaska","Dillingham Census Area, Alaska","ak","050","00","ACSSF","0000019",,,,,"02","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,10,153,157,15,142,1151,982,169,1094,1007,87,588,577,11,20,20,0,67,67,0,64,59,5
"02090","05000US02090","Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska","ak","050","00","ACSSF","0000020",,,,,"02","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2913,32,2881,2270,89,2181,27501,25124,2377,23271,21601,1670,40523,38262,2261,1995,1782,213,1506,1418,88,3020,2503,517
"02100","05000US02100","Haines Borough, Alaska","Haines Borough, Alaska","ak","050","00","ACSSF","0000021",,,,,"02","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,30,76,0,76,823,789,34,654,648,6,1153,1120,33,0,0,0,91,91,0,38,38,0
"02105","05000US02105","Hoonah-Angoon Census Area, Alaska","Hoonah-Angoon Census Area, Alaska","ak","050","00","ACSSF","0000022",,,,,"02","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,33,29,1,28,645,572,73,532,467,65,574,526,48,56,56,0,54,54,0,66,62,4
"02110","05000US02110","Juneau City and Borough, Alaska","Juneau City and Borough, Alaska","ak","050","00","ACSSF","0000023",,,,,"02","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,0,918,672,25,647,9811,9285,526,9065,8685,380,13798,13341,457,262,222,40,1436,1411,25,1067,1042,25
"02122","05000US02122","Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough, Alaska","ak","050","00","ACSSF","0000024",,,,,"02","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558,119,1439,1318,13,1305,15463,13934,1529,12498,11630,868,24098,22272,1826,134,117,17,543,504,39,1053,899,154
"02130","05000US02130","Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough, Alaska","ak","050","00","ACSSF","0000025",,,,,"02","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,25,265,274,16,258,3971,3677,294,3449,3222,227,5162,4883,279,49,49,0,728,691,37,314,293,21
"02150","05000US02150","Kodiak Island Borough, Alaska","Kodiak Island Borough, Alaska","ak","050","00","ACSSF","0000026",,,,,"02","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,35,286,429,14,415,3996,3728,268,3410,3282,128,3927,3725,202,18,18,0,1927,1888,39,540,527,13
"02158","05000US02158","Kusilvak Census Area, Alaska","Kusilvak Census Area, Alaska","ak","050","00","ACSSF","0000027",,,,,"02","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,24,274,320,19,301,1709,1121,588,1274,1004,270,265,265,0,51,51,0,34,34,0,89,76,13
